name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
SiddhirganjDeshEnergyPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
SiddhirganjDutchBanglaPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Siddhirganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Siddhirganj_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sikalbaha_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sikalbaha_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sirajganj68MWSolar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
SirajganjSouthWest_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sirajganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sitalakhya_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sonagazi_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sonargaon_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Srimangal_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Srinagar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sripur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sripur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sunamganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
SylhetSouth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Sylhet_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
TKCCL_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Tangail_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Taraganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
TeestaSolar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
