400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
157,Amnura-Chapai Nawabganj,13,13,Single,,Grosbeak,,,636 MCM,,,,,,
158,Kaliakoir-Dhamrai,23,45,Double,,Grosbeak,,,636 MCM,,,,,,
159,Rangamati-Khagrachari,52,105,Double,,Grosbeak,,,636 MCM,,,,,,
,,,,,,,,,,,,,,,
132 kV Transmission Line,,,,,,,,,,,,,,,
160,Chandraghona-Rangamati,28,55,Double,,Grosbeak,,,636 MCM,,,,,,
161,Chhatak-Sunamganj,32,64,Double,,Grosbeak,,,636 MCM,,,,,,
162,Beanibazar-Sylhet T-Connection,30.0,60,Double,,Grosbeak,,,636 MCM,,,,,,
163,LILO of Tongi-Mirpur Single circuit at Uttara 3P,1,2,Single,,XLPE,,,800sq,,,,,,
164,"T-connection from Dohazari-Cox's Bazar to
Matarbari",18,18,Single,,Grosbeak,,,636 MCM,,,,,,
165,Feni- Baroirhat,28,57,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
166,Brahmanbaria-Narsingdi,55,110,Double,,Grosbeak,,,636 MCM,,,,,,
167,Saidpur-Jaldhaka,30.0,60,Double,,Grosbeak,,,636 MCM,,,,,,
168,RNPP-Ishurdi,7.0,14.00,Double,,Grosbeak,,,636 MCM,,,,,,
169,Confedence PP - Bogura 230kV,8,16,Double,,Grosbeak,,,637 MCM,,,,,,
170,LILO of Jamalpur-Sherpur at United PP,3,13,Four,,Grosbeak,,,638 MCM,,,,,,
171,"LILO of Goalpara-Bagerhat single circuit at
Labanchora PP",6,12,Double,,Grosbeak,,,639 MCM,,,,,,
172,Mymensingh-Bhaluka,43.0,86,Double,,Grosbeak,,,636 MCM,,,,,,
173,LILO of Bogura-Palashbari at Mahasthangarh,1,1,Double,,Grosbeak,,,636 MCM,,,,,,
174,Modhumati PP - Gopalganj,15,15,Single,,Grosbeak,,,636 MCM,,,,,,
175,Jashore-Benapole,31,61,Double,,Grosbeak,,,636 MCM,,,,,,
